C:\Users\User\Desktop\Data\IMG\center_2019_08_13_00_07_40_317.jpg, C:\Users\User\Desktop\Data\IMG\left_2019_08_13_00_07_40_317.jpg, C:\Users\User\Desktop\Data\IMG\right_2019_08_13_00_07_40_317.jpg, 0, 0, 0, 8.000203E-05
C:\Users\User\Desktop\Data\IMG\center_2019_08_13_00_07_40_418.jpg, C:\Users\User\Desktop\Data\IMG\left_2019_08_13_00_07_40_418.jpg, C:\Users\User\Desktop\Data\IMG\right_2019_08_13_00_07_40_418.jpg, 0, 0, 0, 7.910438E-05
C:\Users\User\Desktop\Data\IMG\center_2019_08_13_00_07_40_526.jpg, C:\Users\User\Desktop\Data\IMG\left_2019_08_13_00_07_40_526.jpg, C:\Users\User\Desktop\Data\IMG\right_2019_08_13_00_07_40_526.jpg, 0, 0, 0, 7.847159E-05
C:\Users\User\Desktop\Data\IMG\center_2019_08_13_00_07_40_633.jpg, C:\Users\User\Desktop\Data\IMG\left_2019_08_13_00_07_40_633.jpg, C:\Users\User\Desktop\Data\IMG\right_2019_08_13_00_07_40_633.jpg, 0, 0, 0, 7.797271E-05
C:\Users\User\Desktop\Data\IMG\center_2019_08_13_00_07_40_739.jpg, C:\Users\User\Desktop\Data\IMG\left_2019_08_13_00_07_40_739.jpg, C:\Users\User\Desktop\Data\IMG\right_2019_08_13_00_07_40_739.jpg, 0, 0, 0, 8.180655E-05
C:\Users\User\Desktop\Data\IMG\center_2019_08_13_00_07_40_842.jpg, C:\Users\User\Desktop\Data\IMG\left_2019_08_13_00_07_40_842.jpg, C:\Users\User\Desktop\Data\IMG\right_2019_08_13_00_07_40_842.jpg, 0, 0, 0, 7.826363E-05
C:\Users\User\Desktop\Data\IMG\center_2019_08_13_00_07_40_948.jpg, C:\Users\User\Desktop\Data\IMG\left_2019_08_13_00_07_40_948.jpg, C:\Users\User\Desktop\Data\IMG\right_2019_08_13_00_07_40_948.jpg, 0, 0, 0, 7.893452E-05
C:\Users\User\Desktop\Data\IMG\center_2019_08_13_00_07_41_049.jpg, C:\Users\User\Desktop\Data\IMG\left_2019_08_13_00_07_41_049.jpg, C:\Users\User\Desktop\Data\IMG\right_2019_08_13_00_07_41_049.jpg, 0, 0, 0, 7.811979E-05
C:\Users\User\Desktop\Data\IMG\center_2019_08_13_00_07_41_156.jpg, C:\Users\User\Desktop\Data\IMG\left_2019_08_13_00_07_41_156.jpg, C:\Users\User\Desktop\Data\IMG\right_2019_08_13_00_07_41_156.jpg, 0, 0, 0, 7.795611E-05
C:\Users\User\Desktop\Data\IMG\center_2019_08_13_00_07_41_256.jpg, C:\Users\User\Desktop\Data\IMG\left_2019_08_13_00_07_41_256.jpg, C:\Users\User\Desktop\Data\IMG\right_2019_08_13_00_07_41_256.jpg, 0, 0, 0, 7.807119E-05
C:\Users\User\Desktop\Data\IMG\center_2019_08_13_00_07_41_364.jpg, C:\Users\User\Desktop\Data\IMG\left_2019_08_13_00_07_41_364.jpg, C:\Users\User\Desktop\Data\IMG\right_2019_08_13_00_07_41_364.jpg, 0, 0, 0, 7.825322E-05
C:\Users\User\Desktop\Data\IMG\center_2019_08_13_00_07_41_466.jpg, C:\Users\User\Desktop\Data\IMG\left_2019_08_13_00_07_41_466.jpg, C:\Users\User\Desktop\Data\IMG\right_2019_08_13_00_07_41_466.jpg, 0, 0, 0, 7.928084E-05
C:\Users\User\Desktop\Data\IMG\center_2019_08_13_00_07_41_569.jpg, C:\Users\User\Desktop\Data\IMG\left_2019_08_13_00_07_41_569.jpg, C:\Users\User\Desktop\Data\IMG\right_2019_08_13_00_07_41_569.jpg, 0, 0, 0, 7.914266E-05
C:\Users\User\Desktop\Data\IMG\center_2019_08_13_00_07_41_674.jpg, C:\Users\User\Desktop\Data\IMG\left_2019_08_13_00_07_41_674.jpg, C:\Users\User\Desktop\Data\IMG\right_2019_08_13_00_07_41_674.jpg, 0, 0, 0, 7.781343E-05
